t,accel_raw,gyro_raw,kalman_angle
3.24,-0.127147,0.290391,-4.16451
3.26,-2.58392,-0.930983,-3.79829
3.28,0.366928,-0.663807,-2.8053
3.3,-0.148785,0.0842845,-2.16445
3.32,-0.0947485,-0.0149521,-1.66648
3.34,-0.311167,0.0461166,-1.3397
3.36,-0.21667,0.0537502,-1.06877
3.38,-0.258517,0.038483,-0.873428
3.4,0.230976,-0.343196,-0.613011
3.42,0.396363,-1.38136,-0.391251
3.44,-0.244562,0.152987,-0.354042
3.46,-0.0410429,-0.86228,-0.292178
3.48,-0.217389,0.206422,-0.271481
